"time","iscore","reputation","autoposts"
2016-12-22 09:06:15.374025, 16, 1409.000000, 373
2016-12-23 09:17:16.801008, 19, 1671.000000, 444
2016-12-23 23:55:07.331895, 21, 1997.000000, 474
2016-12-24 23:55:07.777834, 21, 2144.000000, 515
2016-12-25 23:55:08.347845, 21, 2206.000000, 586
2016-12-26 23:55:09.021194, 23, 2367.000000, 637
2016-12-27 23:55:08.319223, 26, 2563.000000, 703
2016-12-28 23:55:08.742268, 26, 2682.000000, 755
2016-12-29 23:55:08.331760, 27, 2844.000000, 817
2016-12-30 23:55:07.954026, 27, 2905.000000, 880
2016-12-31 23:55:08.173871, 27, 2967.000000, 934
2017-01-01 23:55:08.015092, 27, 3067.000000, 981
2017-01-02 23:55:07.968309, 28, 3156.000000, 1041
2017-01-03 23:55:09.628385, 28, 3277.000000, 1105
2017-01-04 23:55:08.122166, 28, 3335.000000, 1155
2017-01-05 23:55:08.412322, 28, 3394.000000, 1214
2017-01-06 23:55:09.775156, 28, 3421.000000, 1235
2017-01-07 23:55:08.032029, 29, 3505.000000, 1306
2017-01-08 23:55:08.046709, 29, 3563.000000, 1365
2017-01-09 23:55:10.254973, 29, 3593.000000, 1411
2017-01-10 23:55:09.759933, 29, 3705.000000, 1465
2017-01-11 23:55:07.689370, 30, 3793.000000, 1514
2017-01-12 23:55:08.347909, 31, 3878.000000, 1555
2017-01-13 23:55:08.439401, 32, 4109.000000, 1595
2017-01-14 23:55:08.172187, 32, 5601.000000, 1647
2017-01-15 23:55:08.432090, 32, 5671.000000, 1692
2017-01-16 23:55:08.893906, 32, 5730.000000, 1750
2017-01-17 23:55:10.309547, 32, 5753.000000, 1791
2017-01-18 23:55:08.950738, 32, 5789.000000, 1839
2017-01-19 23:55:07.613595, 33, 5963.000000, 1880
2017-01-20 23:55:08.436572, 33, 5992.000000, 1924
2017-01-21 23:55:07.979587, 33, 6015.000000, 1957
2017-01-22 23:55:08.670648, 33, 6045.000000, 2012
2017-01-23 23:55:08.327998, 33, 6162.000000, 2059
2017-01-24 23:55:09.253514, 33, 6281.000000, 2103
2017-01-25 23:55:07.743774, 33, 6300.000000, 2146
2017-01-26 23:55:08.198215, 33, 6424.000000, 2184
2017-01-27 23:55:07.490171, 33, 6493.000000, 2221
2017-01-28 23:55:07.794945, 33, 6562.000000, 2254
2017-01-29 23:55:10.463445, 33, 6613.000000, 2301
2017-01-30 23:55:09.190513, 33, 6644.000000, 2334
2017-01-31 23:55:11.147106, 33, 6674.000000, 2385
2017-02-01 23:55:07.567758, 33, 6786.000000, 2429
2017-02-02 23:55:09.009873, 33, 6849.000000, 2470
2017-02-03 23:55:10.519313, 33, 7005.000000, 2526
2017-02-04 23:55:08.105240, 33, 7067.000000, 2597
2017-02-05 23:55:08.656522, 35, 7253.000000, 2643
2017-02-06 23:55:07.812306, 34, 7308.000000, 2696
2017-02-07 23:55:07.808401, 34, 7328.000000, 2736
2017-02-08 23:55:08.305429, 34, 7367.000000, 2768
2017-02-09 23:55:08.163736, 34, 7373.000000, 2807
2017-02-10 23:55:07.391893, 34, 7419.000000, 2848
2017-02-11 23:55:08.154431, 34, 7439.000000, 2901
2017-02-12 23:55:08.201119, 34, 7508.000000, 2947
2017-02-13 23:55:09.612822, 34, 7547.000000, 3009
2017-02-14 23:55:08.063360, 34, 7579.000000, 3061
2017-02-15 23:55:09.172979, 34, 7609.000000, 3089
